Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Mt. Fernow,,East Ridge,B,5900,310,6,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Snow,"Mt Fernow is the highest peak of the Entiat mountain range, a small subrange of 9,000 foot peaks between Glacier Peak and Lake Chelan.  It is somewhat remote climb of moderate technical requirements, and can have a LOT of loose rock. ",Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,"USFS Ranger Station in Lake Wenatchee, WA 509-763-3103"
Mt. Forgotten,,East Rib-Gully,B,4000,270,5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,From Summitpost:,Climbing Washington's Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,none
Mt. Fremont,,Standard,A,900,195,4,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Located just NE of Mt. Rainier, this easy stroll is great for families.  There is an old lookout on top.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey ,Mt. Rainier N.P. 360-569-2211
Mt. Fricaba,,Ridge Traverse,C,5000,300,6,2,springsummer,TRUE,4,35to50,TRUE,FALSE,rockandsnow,Climb to Mt. Fricaba then traverse connecting ridge to Petunia Peak and return to base camp.,"Climbers Guide to the Olympic Mountains, 4th Edition","Olympic National Forest Headquarters: 360-956-2402Mazamas emergency pager activation: 503-227-2345, ext. 3"
Mt. Garibaldi,,NE Route,C,5400,450,8,2,summerautumn,TRUE,,35to50,FALSE,TRUE,Snow,"A large volcano about 1.5 hours north of Vancouver BC, this peak has moderate crevasse travel and a L O N G drive", Alpine  Climbs in Southwest British Columbia & Northern Washington by Kevin McLane,none
Mt. Goode,,NE Buttress,E,4700,300,6.5,2,summerautumn,TRUE,5,35to50,TRUE,TRUE,rockandsnow,"Mt. Goode, one of the coveted 9,000+ foot peaks in Washington, is a Full Value climb - a L O N G approach, some bushwhack, a bit of glacier travel, and a then long classic ridge of low 5th class to the airy summit.  This peak will put all your alpine skills to the test.","Cascade Alpine Guide, Volume 2  2nd Edition by Fred BeckeyClimbs in the Cascades Volume 1 by Jim Nelson and Peter PotterfieldClimbing Washington's Mountains by Jeff Smoot",none at present
Mt. Hilton,,SE Couloir,B,3200,360,6,2,summerautumn,FALSE,,upto35,FALSE,FALSE,Scramble,"Access to Mt Hilton starts at the Canyon Creek trailhead at the end of Canyon Creek road on the south side of the Trinity Alps Wilderness. Hike up Canyon Creek Lakes trail 6 miles to the fork with Canyon Creek Boulder Lakes trail. Another two miles leads to Canyon Creek Boulder Lakes. This trail requires a crossing of Canyon Creek and can be very dangerous when water levels are high. One guide book describes this trail as one of the steepest in the Trinity Alps. A long climb day starts at these lakes at 5755 ft, and heads up towards a saddle to the east of the summit. Verl Duckering describes the SE Couloir route as enjoyable friction climbing on a solid granite inclined plane. One pitch of protected 3/4 class climbing ends at a horizontal ridge line and the summit. An alternate route is up the ridge bordering the steep exposed North Face. This route requires about 250 ft of fixed rope climbing. Above this is another pitch of exposed class 4/high class 3 climbing along an almost horizontal ridge crest.","Trinity Alps Companion, Wayne F. Moss, Second Edition, EcopressMazama Archives-climb report by Verl Duckering and Jack Grauer 1993 Hiking Californias Trinity Alps Wilderness by Dennis LewonThe Trinity Alps by Luther Linkhart Wilderness Press",none
Mt. Hood,,Ladd Glacier,D,6500,90,2,1,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"This is a seldom climbed route, between Cathedral Ridge and the Coe Glacier on the NE side of the mountain.",Oregon High by Jeff Thomas,none
Mt. Hood,,Pearly Gates,C,5000,65,1.5,1,springsummer,TRUE,,35to50,TRUE,FALSE,Snow,"The Pearly Gates was the most heavily used route to the summit of Mt. Hood until 2006 when a dramatic shift in the Hogsback and the increased steepness of the this route made the Old Chute the more typical ascent route. The left chute of the Pearly Gates offers a short ""step"" of steeper snow/ice climbing, while the right chute of the Gates can offer several steps of steeper snow/ice. You cross over the bergschrund to get into the Gates. You can descend by rappelling or downclimbing the route, or by traversing over to the Old Chute. A weekday climb during prime season (early May - late June) can avoid most of the crowds. Staying at Mazama Lodge the night before can get you off to an early and well rested start.  A wind tip:  If you encounter high winds down low, AND you have clear weather above, the winds almost always stop at around 10K feet. Unless the wind is really flattening you, or visibility is very low, consider pushing through lower elevation winds on the South Side of the mountain.",Oregon High by Jeff Thomas,
Mt. Hood,,Newton-Clark Headwall,D,5300,65,1.5,1,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"QuotingOregon High by Jeff Thomas:  ""Newton Clark Headwall bypasses Steel Cliff and climbs the steep slopes directly above the Newton Clark Glacier.  ",Oregon High by Jeff Thomas,USFS Parkdale Ranger Station (Cloud Cap road opening date info) 541-352-6002
Mt. Hood,,Circumnavigation,C,5000,65,1.5,2,springsummer,TRUE,4,35to50,TRUE,TRUE,rockandsnow,"This ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢climbÌÄåÎÌÄå__ is for the adventurous.  This was a popular one-day route around the turn of the century (from Jack Grauers book on Hood) and that Oregon Descents also rates it as a one-day sojourn (at Expert+ ski level!).  If youre in for adventure, want to help pick a route on a rarely done climb, and dont mind the risk of spending the night on a glacier, then this climbs for you!",Oregon Descents by David WaagOregon High by Jeff Thomas,none
Mt. Hood,,Barret Spur,A,3425,95,2.5,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,"Barrett Spur is a highpoint on Mt. Hood's east side. This is a great way to get relatively close to the summit without climbing the mountain completely. On the eastern side you have view of the Hood River valley and the Columbia River. Scramblers can expect challenging slopes, dramatic glacier views, and a close look at the crumbling eastern upper mountain of Mt. Hood.",75 Scrambles in Oregon by Barbara Bond,none
Mt. Hood,,Old Chute,B,5300,65,1.5,1,springsummer,TRUE,,upto35,FALSE,FALSE,Snow,"Photographs taken at the turn of the century show the Hogback in the position it is found in today. Photographs taken during the 1920s, 1930s, 1940s, and 1950s show the Hogback shifted sharply to the west and significant reduced in size. Sometime during the 1960s the Hogback again shifted east to its current position and grew in size. In 1930s the gully which led from the top of the Hogback to the summit became known as the Chute. When the Hogback shifted back toward the east in the 1960s, climbers followed it and started to use a different gully to gain the summit. Although the route was different, it was still called the Chute. To distinguish between the two, the term Old Chute means the route to the west. This is a great route to choose if the bergschrund is impassable or the Chute is jammed with people. From the Hogback, climb diagonally up and left on a steep face which leads to the summit ridge. Turn right and follow the ridge to the top. When you reach the top of the Old Chute, do not be surprised by the narrowness of the ridgetop and the sharp drop down the north face. From ",Oregon High by Jeff Thomas,none
Mt. Hood,,East Crater Wall,C,5300,65,1.5,1,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"This route is one of several variations of Devil's Kitchen headwall.  It begins due east of Crater Rock and follows a large cone of debris into a gully. At the top of Steel Cliff, follow Wy'east to the top. Like all steep faces on Mt. Hood, avoid this route unless it is well covered by snow. From ",Oregon High by Jeff Thomas,
Mt. Hood,,Devil's Kitchen Headwall,D,5300,65,1.5,1,springsummer,TRUE,,over50,FALSE,TRUE,Snow,"Devils Kitchen Headwall should only be undertaken when it is covered by ice and snow. It is relatively straightforward under winter conditions, the maximum angle being somewhere between 55 and 60 degrees. Start from the Hogback and traverse right about Devils Kitchen. Climb the headwall using one of several gullies.  A second ice tool is recommended.  From the top of the headwall, follow the upper 3 pitches of the Wy'east route to the summit.",Oregon High by Jeff Thomas,none
Mt. Hood,,North Face,E,5100,90,2.5,1,springsummer,TRUE,3,over50,FALSE,TRUE,rockandsnow,"This is THE line on the N side of Mt. Hood.  Winter to spring conditions are best.  Expect continuous 50 degree plus snow slopes for about 2,000 calf-burning feet with two 1 pitch ice steps along the way.  ",Oregon High by Jeff ThomasClassic Climbs of the Northwest by Alan Kearney,USFS Parkdale Ranger Station (Cloud Cap road opening date info) 541-352-6002 
Mt. Hood,,Reid Headwall,D,5239,65,1.5,1,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"There are several ways to climb Reid Glacier Headwall. The longest and most interesting way follows two narrow gullies and ends at Queens Chair. The average angle of this line is 40 to 45 degrees, but be ready for 60 degree plus ices bulges.  Bring a few ice screws.  Two ice tools are a good ices.",Oregon High by Jeff Thomas,none
Mt. Hood,,Eliot Glacier Tour,B,,90,2.5,1,springsummer,FALSE,,upto35,FALSE,FALSE,Snow,"The Eliot Glacier tour, a tradition started by climb leader Gary Beck, takes hikers to the rugged north side of the mountain for a day of glacier travel and exploring.  As this hike is above treeline and on slightly technical terrain it's considered a climb, although no this is NOT a summit climb.",Oregon High by Jeff Thomas ,USFS Parkdale Ranger Station (Cloud Cap road opening date info) 541-352-6002
Mt. Hood,,Cathedral Ridge,C,7100,90,2.5,2,springsummer,TRUE,4,35to50,FALSE,TRUE,Snow,"Cathedral Ridge is a tough route to get - it's not so hard, but it's far from road access and is typically done as a 2 day climb.  Approaches can be from Timberline going clockwise, Cloud Cap going counterclockwise, or from the McNeil Point trailhead.",Oregon High by Jeff Thomas,none
Mt. Hood,,Sunshine,C,,90,2.5,1,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"This route follows a meandering path across the lower Eliot and Coe Glaciers on the northeast slope of Mt. Hood, providing a long route with few other people.  Crevasse negotiation, self reliance and good routefinding skills are needed.  This can be a long day, so some parties like to camp on the lower Eliot Glacier and make a 2 day climb out of it. Bring a few ice screws and pickets for the top few pitches.  A second ice tool for the leader for pounding pickets is a good idea.",Oregon High by Jeff Thomas,USFS Parkdale Ranger Station (Cloud Cap road opening date info) 541-352-6002 
Mt. Hood,,Steel Cliffs,C,11239,65,1.5,1,springsummer,TRUE,,35to50,FALSE,FALSE,Snow,"This route is listed inOregon High as an alternate to Wy'east.  Technically it's a bit harder over more varied terrain.  Like Wy'east, the more interesting approach and routefinding combined with steeper snow make this route a good one to try for the confident intermediate climber.  This route is typically harder then Leuthold Couloir and easier than Sandy Headwall.  A second ice tool for security and whacking pickets can be a good idea.  In typical conditions, it's usually best to traverse east from the top of the Palmer rather than from lower down, to lose as little altitude as possible when you cross the White River Glacier.  Bring a few small cams, tri cams and/or pitons for protecting the rock on the last traverse - if it's melted out, the rock is decent and may offer better pro than the snow.  The last pitch can be is 50 plus degrees.  With a larger party, it's best to simply fix 2 ropes over this section and have everyone come up on a handline, rather than take the time for a running belay.  The technical crux might come at the base of the Cliffs, as you need to get up on a short ice bulge at the base that can approach 60-70 degrees.",Oregon High by Jeff Thomas,none
Mt. Hood,,Cooper Spur,C,5300,65,1.5,1,springsummer,TRUE,,35to50,FALSE,FALSE,Snow,"While this route can be a chore to get to and usually requires a car shuttle, once you are on it it's the most direct line to the summit of Hood.  This classic route is exposed and continuous, and confidence on steep snow is required.  Be sure and check if the road to Cloud Cap is open - in a big snow year it may not melt out until late June.  Early season climbs are possible, although starting at Cooper Spur ski area adds an extra 2,000 feet onto your climb.",Oregon High by Jeff Thomas Climbers Guide to the Cascade Volcanoes by Jeff Smoot,USFS Parkdale Ranger Station (Cloud Cap road opening date info) 541-352-6002
Mt. Hood,,Sandy Glacier Headwall ,D,5600,65,1.5,1,springsummer,TRUE,4,over50,FALSE,TRUE,Snow,"This is one of the harder and more committing routes on Mt. Hood - you're a long way from other climbers and outside help.  While a 1 round trip from Timberline is possible for the fit team (10-12 hours), camping at Illumination Saddle the night before will reward you with great views and an early and well rested start.  Bring the backcountry skis for a great ski down after breaking camp.  A second ice tool and pickets are mandatory, and bring a few ice screws.  Crossing lower Yocum Ridge can be a bit tricky - in some spots 50 degree traversing on hard snow or alpine ice.  Once on the headwall, expect about 2,000 unrelenting feet of  50-55 degree snow / alpine ice - a good calf workout!.  Running belays or unroped climbing is the way to go on this route.",Oregon High by Jeff Thomas,none
Mt. Hood,,Leuthold Couloir,C,5300,65,1.5,1,springsummer,TRUE,,35to50,FALSE,FALSE,Snow,"This route is a step up in commitment, difficulty and reward from the standard South side.  Early season is best.  A second ice tool can be useful, as can ice screws.  While a 1 ascent is common, camping at Illumination Saddle the night before will reward you with great views and an early and well rested start.  Bring the backcountry skis for a great ski down after breaking camp.",Oregon High by Jeff Thomas Climbers Guide to the Cascade Volcanoes by Jeff Smoot,none
Mt. Hood,,Wy'east,C,5200,65,1.5,1,springsummer,TRUE,3,35to50,FALSE,FALSE,Snow,"This route leaves from Timberline and leaves the crowds.  A more interesting approach and routefinding combined with steeper snow make this route a good one to try for the confident intermediate climber.  This route is typically harder then Leuthold Couloir and easier than Sandy Headwall.  A second ice tool for security and whacking pickets can be a good idea.  In typical conditions, it's usually best to traverse from the top of the Palmer rather than from lower down, to lose as little altitude as possible when you cross the White River Glacier.  Bring a few small cams, tri cams and/or pitons for protecting the rock on the traverse - if it's melted out, the rock is decent and may offer better pro than the snow.  The last 2 pitches can be exposed 50+ degree snow.",Oregon High by Jeff Thomas,none
Mt. Hood,,West Crater Rim,B,5000,65,1.5,1,springsummer,TRUE,,35to50,FALSE,FALSE,Snow,"This route, with longer, steeper snow pitches, can be a good alternative to the crowded Hogsback.  Bring pickets - you may need them.  Assess avalanche conditions carefully before getting on this route.  Staying at Mazama Lodge the night before can get you off to an early and well rested start.",Oregon High by Jeff Thomas,none
Mt. Hood,,South Side,B,5000,65,1.5,1,springsummer,TRUE,,upto35,FALSE,FALSE,Snow,"The highest point in Oregon, this route gets the vast majority of Hood ascents.  A weekday climb during prime season (early May - late June) can avoid most of the crowds.  Staying at Mazama Lodge the night before can get you off to an early and well rested start.  A wind tip: If you encounter high winds down low, AND you have clear weather above, the winds almost always stop at around 10K feet. Unless the wind is really flattening you, or visibility is very low, consider pushing through lower elevation winds on the S. Side.",Oregon High by Jeff Thomas,none
Mt. Hubris (The Ogre),,Cosmic Wall,D,2500,400,6,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,from summitpost trip report: ,"Classic Rock Climbs No. 18 Castle Crags, California by Laird Davis (available in the Mazama Library)","Castle Crags State ParkP.O. Box 80Castella, CA 96017-0080Tel #1: (530) 235-2684Tel #2: (530) 225-2065"
Mt. Index,,East Ridge,B,3500,225,4,2,springsummer,FALSE,4,upto35,TRUE,FALSE,rockandsnow,"This is a rugged climb through brush, rockslides, routefinding difficulties, and ridge travel above a huge escarpment- the east face of Mt. Index.","Cascade Alpine Guide, Volume I: Columbia River to Stevens pass by Fred Beckey",none
Mt. Jefferson,,East Face,C,6300,120,2.5,2,summerautumn,TRUE,4,over50,TRUE,TRUE,Snow,"The East Face route, though seldom climbed, offers a direct line up the aesthetic steep snow above the Whitewater Glacier on the east side of Mt. Jefferson.  As this route gets the first sun, be on it early and move fast to avoid softening snow, minimize avalanche risk and decrease rocks bombing you from the North Ridge.  Helmets mandatory.  ",Oregon High by Jeff Thomas,"Willamette Nat. Forest, Detroit Ranger District: 503-854-3366 "
Mt. Jefferson,,North Ridge,C,6300,120,2.5,2,summerautumn,TRUE,4,35to50,TRUE,TRUE,Snow,"The North Ridge route on Jefferson covers some of the terrain the challenging Jeff park Glacier route, but has a bit more ridge/rock Scramble.  The route averages about 45 degrees, with the loose rock typical of the OR Cascades.  As with many routes on Jeff, good conditions play a major role in success.",Oregon High by Jeff Thomas,"Willamette Nat. Forest, Detroit Ranger District: 503-854-3366 "
Mt. Jefferson,,Jeff Park Glacier,D,6300,120,2.5,2,summerautumn,TRUE,5,over50,FALSE,TRUE,rockandsnow,"Mt. Jefferson is the second highest mountain in Oregon.  This route is a complex undertaking with significant routefinding and requires a range of solid mountaineering skills, from steep snow and maybe ice, crumbly exposed rock (love those portable handholds!) and good stamina.  Like all Jefferson routes, long days and unexpected bivys can be common.",Oregon High by Jeff Thomas,"Willamette Nat. Forest, Detroit Ranger District: 503-854-3366"
Mt. Jefferson,,Whitewater Glacier,C,6300,120,2.5,2,summerautumn,TRUE,4,35to50,FALSE,TRUE,Snow,"Mt. Jefferson, the second highest mountain in Oregon, is a challenge by any route. The Whitewater route is a LONG day, with a 12 mile total climb across the largest glacier in Oregon.  Leave wands on the way up so you can use them on the way back.  This route is technically easier then Jeff Park Glacier.",Oregon High by Jeff Thomas,USFS Detroit Ranger District office 503-854-3366
Mt. Jefferson,,Milk Creek,C,7200,120,2.5,2,summerautumn,TRUE,4,35to50,FALSE,FALSE,Snow,"Mt. Jefferson is the second highest mountain in Oregon, and a notch or two up in difficulty and commitment than the South side of Hood.  The Milk Creek Glacier is seldom climbed, but offers the most direct route to the summit from the trailhead.  Try this route only when snow covered - it's a steep scree slog later in the season.  While 1 ascents are possible for the fit climber, long days and unexpected bivies can be common.  ",Oregon High by Jeff Thomas,"Willamette Nat. Forest, Detroit Ranger District: 503-854-3366"
Mt. Jefferson,,South Ridge,C,7200,120,2.5,2,summerautumn,TRUE,4,35to50,FALSE,FALSE,Snow,"Mt. Jefferson is the second highest mountain in Oregon, and a notch up in difficulty and commitment than the South side of Hood. The South Ridge is the easiest route, mostly a long ridge of class 3 Scramble.  But do not underestimate this route - the last 200 vertical feet are kinda tricky!  This route has a long fixed line traverse of an exposed 50+ degree snow field, (very loose scree/rock in late season) followed by a 4th class scramble to the single rock block of the summit.  Long days and unexpected bivies are common on this peak. In a big group, 4 ropes and a lot of pickets are a good idea - 3 to fix the traverse and one for the summit block.  Be sure and check with the Detroit Lake USFS office for any permits needed for the Pamelia Lake trailhead - it's a heavily used area and advance permits may be needed.",Oregon High by Jeff Thomas,"Willamette Nat. Forest, Detroit Ranger District: 503-854-3366"
Mt. Larrabee,,SW Route,A,,320,7,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,A seldom-climbed peak with superb views way up north near the Canadian border.,Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,Glacier Ranger station: 360 599-2714Mt. Baker Ranger station Sedro Wolley: 360 856-5700
Mt. Logan,,NW Buttress,D,6000,350,6.5,2,summerautumn,TRUE,5,35to50,TRUE,TRUE,rockandsnow,"This is a seldom done, technical 5th class route.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,"Nat Park Service, Marblemount: 206-873-4500; Chelan District office 509-682-2549"
Mt. Logan,,Fremont Glacier,B,6800,340,6.5,2,summerautumn,TRUE,4,upto35,FALSE,TRUE,rockandsnow,"One of the highest non-volcanic peaks in the North Cascades, Mt. Logan offers a remote and spectacular setting with moderate technical difficulty. Getting to the peak more involved than the climb.",Climbs in the North Cascades by Nelson and PotterfieldCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,"Nat Park Service, Marblemount: 206-873-4500; Chelan District office 509-682-2549"
Mt. Maude,,South Shoulder,B,5600,310,6,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"Beckey calls Mt. Maude ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢A dominating hulk with a magnificent positionÌÄåÎÌÄå__.  This route follows an easier line to the top than the classic North Face route, and is a climb of moderate technical requirements in a beautiful and seldom visited area.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred BeckeyClimbing Washingtons Mountains by Jeff Smoot75 Scrambles in Washington by Peggy Goldman,"Wenatchee NF, Lake Wenatchee Ranger District, 509-763-3103"
Mt. Maude,,North Face,D,5600,310,6,2,summerautumn,TRUE,4,over50,FALSE,TRUE,rockandsnow,"Beckey Calls Mt. Maude ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢A dominating hulk with a magnificent positionÌÄåÎÌÄå__, and he calls the South Entiat Glacier ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢the most spectacular in this region of the Cascades.  Wow, sign me up!  After what can be a tricky approach, the North Face route takes a committing line up a classic steep snow field, with possible pitches close to 60 degrees near the top",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred BeckeyClimbing Washingtons Mountains by Jeff Smoot,"USFS Ranger Station, Lake Wenatchee WA, 509-763-3103"
Mt. McLoughlin,,East Ridge,A,3900,325,6,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,This is a walk up peak with no technical mountaineering skills required other than routefinding and solid aerobic fitness.  This can be a good ski mountaineering descent in early season.,Climbers Guide to the Cascade Volcanoes by Jeff Smoot  A Climbing Guide To Oregon  Nicholas Dodge,none
Mt. Mystery,,Deception Basin,B,5600,210,4,2,summerautumn,TRUE,4,upto35,TRUE,FALSE,Scramble,"Mt. Mystery . . . who could not wonder about a peak with such a cool name as this?  Next door to taller and more famous Mt. Deception, Mystery is best approached from Royal Basin.  The guidebook gives an alternate approach from Dosewallips River trial, but this route seems a lot more hazardous and trickier routefinding.  This is a nice scramble peak in a remote setting, beautiful basecamp in upper Royal Basin, mellow glacier approach, and moderate Scramble with 1 pitch of 4th class near the top.  This climb should be done more often!",Climbers Guide to the Olympic Mountains by Olympic Mountain RescueClimbing Washington's Mountains by Jeff Smoot (read the Mt. Deception description for driving directions to trailhead and hike in to basecamp.),"Olympic National Forest, Quilcene Ranger District: 360-765-2200Olympic NP (permits): 360-452-4501"
Mt. Noyes,,Seattle Creek Basin - Mt. Meany - Mt. Noyes Traverse,C,6200,200,4,2,summerautumn,FALSE,4,,TRUE,FALSE,Rock,"Reference: Olympic Climbers Guide, Mt Noyes, route 1, then traverse to Noyes/Meany col. At this point the route joins Mt Meany route 2.","Climbers Guide To The Olympic Mountains, 3rd or 4th Edition","Olympic National Park Headquarters 360-452-4501, Quinault Ranger Station, ONP 360-288-2444, Quinault Ranger Station, USFS 360-288-2525"
Mt. Olympus,,Blue Glacier ,C,7300,260,5,2,summerautumn,TRUE,4,35to50,TRUE,TRUE,Snow,"The tallest peak in the Olympic Range, Mt. Olympus is known for its long approach - 13 miles or so up the beautiful (and mostly flat) Hoh River valley, and then a steeper 4.5 miles up to high camp.  Weather can be a big factor in success.  Don't be fooled by the low elevation of this peak - its is a long day from high camp and has a winding route that takes awhile.  Bring a few stoppers, tri cams and long runners to protect the exposed rock moves on the rocky summit block, and two ice screws for crevasse rescue on the spectacular Blue Glacier - usually it's solid ice.  No pickets are needed.   Pack some extra chocolate to share with the nice backcountry rangers who generally live at base camp - they are helpful, have good route beta, and live 18 miles in!  Don't bring plastic boots, and pack as light as you possibly can.  Making reservations for the Glacier Meadows high camp can be a good idea for a big group.",Climbers Guide to the Olympic Mountains  (3rd Edition)Climbing Washingtons Mountains by Jeff Smoot,"Olympic National Park Headquarters: (360) 452-4501, or 360-425-0330 "
Mt. Pershing,,South-Middle Peak Saddle,B,4300,175,3.5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,from Summitpost:,Climbers Guide to the Olympic Mountains by Olympic Mt. Rescue,Olympic National Forest Headquarters 360-956-2402
Mt. Pilchuck,,Bathtub Lakes ,A,2900,220,4.5,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"A popular scramble peak close to the Everett area, Pilchuck can easily be climbed car to car in 1 by a fit party.  Be mindful of extra routefinding challenges in low visibility.",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Mt. Baker-Snoqualmie National Forest Verlot Ranger Station 360-691-7791 (summer only)Mt. Baker-Snoqualmie National Forest Darrington Ranger District 360-436-1155
Mt. Pleasant,,Spray Park,A,1500,200,4,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Mt. Pleasant is situated northwest of Mt. Rainier, overlooking Spray Park. This is an easy climb, suitable for families. Camp at Mowich Lake (a short walk-in), and climb the peak in 1.  A good strategy is to drive to Mowich Lake and set up camp the first day, climb the second day, break camp and drive home the 3rd day. The climb follows the trail past the spectacular Spray Falls for 3 miles to Spray Park, then turns north and follows a climbers trail for 0.5 mile to the summit. ",,Mt. Rainier NP: 360-569-2211
Mt. Pugh,,NW Ridge,A,5300,260,6,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"Mt. Pugh offers an easy ascent to a high vantage point - this is a popular ""scramble"" peak.  The summit affords a bird's eye view of nearby White Horse Mountain, Three Fingers, Sloan, and Whitechuck.  A summit lookout is no longer in existence, but the fine view remains.  Most of the route is on a trail.  Note that some maps refer to this peak as Pugh Mountain.",Climbing Washington's Mountains by Jeff Smoot Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey 75 Scrambles in Washington by Peggy Goldman,"Mt Baker / Snoqualmie NF, Darrington Ranger Station: 360-436-1155"
Mt. Rainier,,Success Cleaver,D,12010,150,3,2,springsummer,TRUE,5,over50,TRUE,TRUE,rockandsnow,"""Success Cleaver, the great SW rock spur to Point Success, begins at 6,500 feet at the saddle north of Pyramid Peak. In late summer it usually is an all-rock route to the 14,000-foot level (with a number of unpleasant traverses on loose scree). Most of the route is protected from stonefall by its own projection. It is not a difficult route, but it has a moderately long approach and is a long climb. There is at least one pitch of rock climbing at the upper bands. Most parties carry bivouac or sleeping gear, and make a traverse of Rainier to descent by another route."" from ","Cascade Alpine Guide, Volume 1 by Fred Beckey","Mt Rainier NP, Park HQ: 360-569-2211 ext 2334"
Mt. Rainier,,Ptarmigan Ridge,E,11400,150,3,2,springsummer,TRUE,3,over50,FALSE,TRUE,Snow,"A classic, beautiful, challenging, and remote route on The Big One.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Mt. Rainier,,Gibralter Ledge,D,9000,150,3.5,2,springsummer,TRUE,4,upto35,TRUE,TRUE,rockandsnow,,Climbers Guide to the Cascade Volcanoes by Jeff Smoot Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey ,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334 Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105"
Mt. Rainier,,Tahoma Glacier,C,10000,180,4,2,springsummer,TRUE,,35to50,FALSE,FALSE,Snow,"The Tahoma Glacier is steepest between 11,500 and 13,000 feet, where the angles varies from 30 to 40 degrees; it is over a mile wide at places with a surface alternating between smooth areas and icefalls. In early summer the Tahoma provides on of Rainier's most direct routes, but by August it can be badly crevasses.","Cascade Alpine Guide, Volume I by Fred Beckey",
Mt. Rainier,,Liberty Ridge,D,10000,180,4,2,springsummer,TRUE,,over50,FALSE,TRUE,Snow,"On this route you will find more than 5,000 feet of steep (40 - 50 degree) snow and ice. On this route climbers are not summiting from a high camp, rather they are carrying all their gear up and over the 14,400 foot mountain. This adds to the strenuousness of the climb. This route is often referred to as on of the ""classics"" of the Cascades.","Climbs in the Cascades, Volume I Potterfield/Nelson",
Mt. Rainier,,Ingraham Direct,C,10000,180,4,2,springsummer,TRUE,,35to50,,TRUE,Snow,"Ingraham Direct (also referred to as Ingraham Glacier-Upper Ingraham Direct) is an early season route, usually climbed from above Ingraham Flats through its center to the top of Disappointment Cleaver. This is an early to midseason route. ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334 Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105"
Mt. Rainier,,Fuhrer Finger,D,10000,180,4,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"This route is the shortest to Rainier's summit, but not necessarily the fastest. It was named for Hans Fuhrer, the guide who led its first ascent. This climb should be done before mid-July to avoid large crevasses on the Nisqually Glacier. ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334 Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105"
